frame,mjd,source_id,flux_net,flux_net_small,bkg
proc_V842_Her_Light_001.fits,61160.8951534838,1424417794820749696,84911.13999841374,52151.88635998694,3933.805908203125
proc_V842_Her_Light_001.fits,61160.8951534838,1403082909850677504,84854.29054734425,20867.196984885828,4050.30712890625
proc_V842_Her_Light_001.fits,61160.8951534838,1399993213457195520,88192.72940805444,25064.34635334638,4094.565673828125
proc_V842_Her_Light_001.fits,61160.8951534838,1400414292050888832,81122.74742521642,39633.81723520886,4037.130859375
proc_V842_Her_Light_001.fits,61160.8951534838,1424368149294685952,94198.70953591273,71673.70893408767,3947.480224609375
proc_V842_Her_Light_001.fits,61160.8951534838,1423593474633502976,92209.85779130441,59508.28840000347,3950.911376953125
proc_V842_Her_Light_001.fits,61160.8951534838,1399387176391820160,79914.96107524447,56844.16041436455,4107.02490234375
proc_V842_Her_Light_001.fits,61160.8951534838,1424686629709113856,92550.21051635087,57738.88213614866,3914.2635498046875
proc_V842_Her_Light_001.fits,61160.8951534838,1399474858147972480,83964.45463153836,65530.70718901936,4036.236083984375
proc_V842_Her_Light_001.fits,61160.8951534838,1424534725306172800,88519.8135072777,59007.32296335447,3879.2353515625
proc_V842_Her_Light_001.fits,61160.8951534838,1403711796142539136,76607.81947619957,53169.293262394145,3863.691162109375
proc_V842_Her_Light_001.fits,61160.8951534838,1400380653866967168,86778.97632195143,55075.41998905482,4015.884033203125
proc_V842_Her_Light_001.fits,61160.8951534838,1403509451642824192,87489.50930760545,57052.11593943673,3935.339599609375
proc_V842_Her_Light_001.fits,61160.8951534838,1399441288683877504,87919.48299416999,57448.453021588444,4101.201171875
proc_V842_Her_Light_001.fits,61160.8951534838,1423148206783521920,80594.43051190162,64893.439561381645,4125.8544921875
proc_V842_Her_Light_001.fits,61160.8951534838,1403474954465528960,73878.27570227231,52672.890307429974,3967.3994140625
proc_V842_Her_Light_001.fits,61160.8951534838,1403779553545892096,73325.10913421027,53762.59336282905,3854.4228515625
proc_V842_Her_Light_001.fits,61160.8951534838,1423156109523335424,79368.98687798704,61759.29581360551,4126.93798828125
proc_V842_Her_Light_001.fits,61160.8951534838,1423420950090620672,70269.57938040933,52062.28761633173,4069.025634765625
proc_V842_Her_Light_001.fits,61160.8951534838,1403673794271845248,81826.23620263516,63519.505436442036,3880.384521484375
proc_V842_Her_Light_001.fits,61160.8951534838,1423214383639780864,78666.95655319077,60890.4301853583,4096.1298828125
proc_V842_Her_Light_001.fits,61160.8951534838,1404278319508397824,90918.13949096604,73601.74317486506,3792.78076171875
proc_V842_Her_Light_001.fits,61160.8951534838,1423301038900150400,74119.60568030796,55148.92827824291,4048.540283203125
proc_V842_Her_Light_001.fits,61160.8951534838,1399469021288707456,86217.94570429606,68965.33994910304,4041.26904296875
proc_V842_Her_Light_001.fits,61160.8951534838,1400100205386281216,62685.34623493662,35123.81964096987,4100.77099609375
proc_V842_Her_Light_001.fits,61160.8951534838,1399198163471195008,68732.5343688234,50079.30956523707,4142.864013671875
proc_V842_Her_Light_001.fits,61160.8951534838,1400218132304633856,82932.18826275354,60272.122235099436,4031.73681640625
proc_V842_Her_Light_001.fits,61160.8951534838,1423641406468543488,79579.49905461748,53531.637867354395,3960.352783203125
proc_V842_Her_Light_001.fits,61160.8951534838,1403716331627228800,78061.16247575067,52374.80333654766,3909.9599609375
proc_V842_Her_Light_001.fits,61160.8951534838,1400571109897445376,76985.69084180094,58453.26591073323,3948.9566650390625
proc_V842_Her_Light_001.fits,61160.8951534838,1423693186594678656,75251.56482305093,50759.07825506633,3907.132568359375
proc_V842_Her_Light_001.fits,61160.8951534838,1423542416061967360,67691.08431848208,47984.95792480839,4002.934326171875
proc_V842_Her_Light_001.fits,61160.8951534838,1423161538362486656,67614.30697849399,53657.555106530344,4118.940185546875
proc_V842_Her_Light_001.fits,61160.8951534838,1399210322522483712,77320.20298997412,61142.14015577095,4095.6480712890625
proc_V842_Her_Light_001.fits,61160.8951534838,1401442026185682560,54042.23357504321,6939.444273604517,4073.8251953125
proc_V842_Her_Light_001.fits,61160.8951534838,1400272519474196224,52276.67841708049,29360.88325311645,4025.481201171875
proc_V842_Her_Light_001.fits,61160.8951534838,1403646650078526592,75744.78163209447,60159.72339016308,3898.81689453125
proc_V842_Her_Light_001.fits,61160.8951534838,1423459849610967040,73881.62325423904,59744.48361245892,4035.978515625
proc_V842_Her_Light_001.fits,61160.8951534838,1423446994772298880,71522.89191237779,54667.65806986405,4029.4423828125
proc_V842_Her_Light_001.fits,61160.8951534838,1403536728979680256,59027.232762138185,40629.772883069236,3905.8349609375
proc_V842_Her_Light_001.fits,61160.8951534838,1423212871811144320,63834.19466867315,49870.683609798056,4105.916015625
proc_V842_Her_Light_001.fits,61160.8951534838,1400106738033257728,66467.81681357179,33271.79771937389,4086.277587890625
proc_V842_Her_Light_001.fits,61160.8951534838,1424709650733844480,62465.17201946996,38285.6495094642,3890.1497802734375
proc_V842_Her_Light_001.fits,61160.8951534838,1403233336785525504,44762.52382394072,8276.101651524019,3959.9853515625
proc_V842_Her_Light_001.fits,61160.8951534838,1399414320585265536,51757.920703493466,35783.40631017389,4064.99609375
proc_V842_Her_Light_001.fits,61160.8951534838,1424915465566865024,60147.513000275125,27762.75171922124,3863.8465576171875
proc_V842_Her_Light_001.fits,61160.8951534838,1403083906283092224,53304.34579332726,10459.183929720806,4038.539306640625
proc_V842_Her_Light_001.fits,61160.8951534838,1403718908607602048,60565.44760038471,45062.72122421884,3906.935302734375
proc_V842_Her_Light_001.fits,61160.8951534838,1424518060833414144,68160.647611133,28434.036364632106,3878.2041015625
